Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
2/15/2020,0,0,0,0,0,0,0
2/16/2020,6,2,11,44,7,21,9
2/17/2020,61,20,36,24,100,70,33
2/18/2020,0,0,0,0,0.5,0,0
2/19/2020,0,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0,0
2/25/2020,0,0,0,0.2,0,0,0
2/26/2020,0,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0,0
3/7/2020,0,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0
3/9/2020,0,0,0,0,0,0,0
3/10/2020,0,0,0,0,0,0,0
3/11/2020,5,0,0,0,0,0,23
3/12/2020,0,0,0,0,0,0,0
3/13/2020,0,0,0,0,0,0,0
3/14/2020,16,8,10,0,38,21,26
3/15/2020,2,8,7,2,2,28,0
3/16/2020,0,0,0,0,0,0,0
3/17/2020,59,61,48,0.5,2,69,22
3/18/2020,0,0,0,0,0,0,0
3/19/2020,0,0,0,0,0,0,0
3/20/2020,0,0,0,0,0,0,0
3/21/2020,0,0,0,0,0,0,0
3/22/2020,0,0,0,0,0,0,0
3/23/2020,0,0,0,0,0,0,0
3/24/2020,0.1,0,0,0,0,0,0
3/25/2020,0,0,0,0,0,0,0
3/26/2020,0.7,10,17,26,3,0,0
3/27/2020,3,7,33,24,3,0,7
3/28/2020,0,0,0,0,0,1,0
3/29/2020,0,0,0,0,0,0,0
3/30/2020,0,0,0,2,0,0,0
3/31/2020,0,0,0,22,0.8,0,0
4/1/2020,7,3,0.3,36,64,7,18
4/2/2020,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0
4/4/2020,0,0,0,0,0,0,0
4/5/2020,0,0,0,0,1,0,0
4/6/2020,0,0,0,0,0,0,0
4/7/2020,0,0,0,0,0,0,0
4/8/2020,0,0,0,0,0,0,0
